County,2011,2012,2013
Baringo,62.119093409,69.877672592,64.835414354
Bomet,57.227700067,42.022996612,58.283932762
Bungoma,72.049457764,63.30098433,60.500155438
Busia,125.397188148,170.444758494,117.095900559
Elgeyo Marakwet,88.877144183,80.047478483,65.921966981
Embu,90.403367032,87.364958831,96.110769446
Garissa,213.074498759,124.099330336,129.735052594
Homabay,100.207160406,88.578211733,80.482946585
Isiolo,92.134614059,85.60481898,89.590936885
Kajiado,78.247905647,81.794177246,58.376457003
Kakamega,77.357026653,84.284780592,85.903747643
Kericho,94.705021861,100.245958611,52.513297681
Kiambu,85.56178994,82.793207268,67.559210241
Kilifi,73.966304343,84.609728278,80.894091165
Kirinyaga,70.646206818,82.229031303,80.026634163
Kisii,72.874897385,94.800438451,73.675684569
Kisumu,47.194852992,80.69825769,74.186376818
Kitui,114.050349022,70.81827417,72.173310011
Kwale,76.5626603,84.558148262,85.158776172
Laikipia,92.126660094,82.814796966,84.302638177
Lamu,84.916810908,90.002715115,83.191467707
Machakos,89.028387384,93.613297269,83.811511949
Makueni,98.00268733,84.693865978,79.664320016
Mandera,82.949084471,75.301476153,69.918273501
Marsabit,89.429864577,96.695876013,92.684547605
Meru,74.314253778,78.892125335,59.25407174
Migori,102.681254398,83.09122177,80.869054561
Mombasa,93.872515594,92.360147489,79.718503584
Muranga,73.56898318,67.832677979,56.070767103
Nairobi,95.151117493,95.225875717,75.123754416
Nakuru,96.865375766,100.51995193,79.189804373
Nandi,57.035345032,80.110578945,70.595819833
Narok,54.791636349,69.115249025,57.036597064
Nyamira,70.111854995,65.448347602,97.112052267
Nyandarua,83.61826413,74.427845498,69.546719254
Nyeri,95.349933866,60.052367261,77.176711924
Samburu,63.800444956,68.440334949,52.941189229
Siaya,67.030987519,87.9636648,76.648864805
Taita Taveta,86.423932344,78.889885493,77.648996153
Tana River,60.066263499,64.723400811,57.130320888
Tharaka Nithi,83.505869217,101.688447521,82.832229304
Trans Nzoia,48.483935357,61.534252485,54.971113756
Turkana,53.254718592,78.4223533,66.486369974
Uasin Gishu,84.203608846,82.595006944,73.820340818
Vihiga,100.229587637,89.116012397,95.583776731
Wajir,163.980395592,115.274633355,139.621342733
West Pokot,49.031581236,52.573100969,48.443019683
